company_id,onset_month,conditions_at_onset
COMP_0009,2025-10,cash|unpaid_ar
COMP_0017,2026-04,cash|pays_late
COMP_0018,2026-01,cash|pays_late
COMP_0023,2026-07,cash|unpaid_ar
COMP_0025,2026-06,cash|unpaid_ar
COMP_0029,2026-07,cash|pays_late
COMP_0039,2025-12,cash|pays_late
COMP_0051,2025-12,cash|unpaid_ar
COMP_0055,2026-02,cash|unpaid_ar
COMP_0059,2025-09,cash|pays_late
COMP_0073,2025-09,cash|pays_late
COMP_0074,2026-06,cash|unpaid_ar
COMP_0077,2025-12,pays_late|unpaid_ar
COMP_0081,2026-05,cash|unpaid_ar
COMP_0085,2025-09,cash|pays_late|unpaid_ar
COMP_0089,2026-05,cash|unpaid_ar
COMP_0098,2025-10,cash|pays_late
COMP_0099,2026-03,cash|unpaid_ar
COMP_0100,2026-05,cash|pays_late|unpaid_ar
COMP_0123,2025-10,cash|unpaid_ar
COMP_0126,2026-04,cash|unpaid_ar
COMP_0138,2026-04,cash|unpaid_ar
COMP_0142,2026-05,cash|unpaid_ar
COMP_0149,2025-09,cash|pays_late|unpaid_ar
COMP_0151,2025-12,cash|pays_late
COMP_0155,2026-01,cash|unpaid_ar
COMP_0159,2026-07,cash|unpaid_ar
COMP_0163,2026-06,pays_late|unpaid_ar
COMP_0164,2025-09,cash|unpaid_ar
COMP_0167,2025-11,cash|pays_late
COMP_0176,2025-12,cash|pays_late|unpaid_ar
COMP_0178,2026-03,cash|unpaid_ar
COMP_0180,2025-09,cash|pays_late
COMP_0189,2026-06,cash|unpaid_ar
COMP_0191,2025-09,cash|pays_late
COMP_0197,2026-01,cash|pays_late
COMP_0201,2026-02,cash|pays_late|unpaid_ar
COMP_0203,2025-09,cash|unpaid_ar
COMP_0207,2026-01,cash|pays_late
COMP_0219,2025-12,cash|unpaid_ar
COMP_0220,2026-01,cash|unpaid_ar
COMP_0225,2026-02,cash|unpaid_ar
COMP_0232,2026-06,cash|unpaid_ar
COMP_0234,2025-12,cash|pays_late
